Data,Hora,Press Atm,Temp1,Temp2,Temp Int,Umidade Ar,Umidade Ar Int,Rad Solar W/m2,Rad Total Solar W/m2,Rad Total Solar KJ/m2,Velocidade Vento,Direção Vento,Precipitação,Tensão Sistema
25_07_2022,00:32:09,1014.7,21.8,26.2,22.2,90.0,75.0,0.0,16.0,1.0,1.6,267.0,0.0,12.7
25_07_2022,00:32:14,1014.7,21.8,26.2,22.2,90.0,75.0,0.0,16.0,1.0,1.5,234.0,0.0,12.7
25_07_2022,00:42:29,1014.7,21.7,26.1,22.4,91.0,74.0,0.0,16.0,1.0,0.0,95.0,0.0,12.7
25_07_2022,00:42:34,1014.7,21.7,26.1,22.4,91.0,74.0,0.0,16.0,1.0,0.0,95.0,0.0,12.7
25_07_2022,00:52:50,1014.5,21.6,26.1,22.4,91.0,74.0,0.0,16.0,1.0,1.9,243.0,0.0,12.7
25_07_2022,00:52:55,1014.5,21.6,26.1,22.4,91.0,74.0,0.0,16.0,1.0,0.9,209.0,0.0,12.7
25_07_2022,01:18:09,1014.3,21.5,26.0,22.3,93.0,74.0,0.0,0.0,0.0,1.5,222.0,0.0,12.7
25_07_2022,01:18:14,1014.3,21.5,26.0,22.3,93.0,74.0,0.0,0.0,0.0,1.3,206.0,0.0,12.7
25_07_2022,01:28:29,1014.2,21.5,26.0,22.2,92.0,74.0,0.0,0.0,0.0,1.6,197.0,0.0,12.7
25_07_2022,01:28:34,1014.2,21.5,26.0,22.2,92.0,74.0,0.0,0.0,0.0,1.2,218.0,0.0,12.7
25_07_2022,01:38:49,1014.0,21.7,26.0,22.3,92.0,74.0,0.0,0.0,0.0,0.0,315.0,0.0,12.7
25_07_2022,01:38:54,1014.0,21.7,26.0,22.3,92.0,74.0,0.0,0.0,0.0,0.5,130.0,0.0,12.7
25_07_2022,02:14:29,1013.8,22.0,25.9,22.4,89.0,73.0,0.0,0.0,0.0,3.7,229.0,0.0,12.7
25_07_2022,02:14:34,1013.8,22.0,25.9,22.4,89.0,73.0,0.0,0.0,0.0,2.5,239.0,0.0,12.7
25_07_2022,02:15:20,1013.7,22.0,25.9,22.4,89.0,73.0,0.0,0.0,0.0,1.3,233.0,0.0,12.6
25_07_2022,02:15:29,1013.7,22.0,25.9,22.3,89.0,74.0,0.0,0.0,0.0,3.1,233.0,0.0,12.6
25_07_2022,02:24:49,1013.7,22.0,25.8,22.2,88.0,74.0,0.0,0.0,0.0,1.3,203.0,0.0,12.6
25_07_2022,02:24:54,1013.7,22.0,25.8,22.2,88.0,74.0,0.0,0.0,0.0,1.1,183.0,0.0,12.6
25_07_2022,03:30:10,1013.5,21.6,25.7,21.8,88.0,74.0,0.0,0.0,0.0,1.8,230.0,0.0,12.6
25_07_2022,03:30:18,1013.5,21.6,25.7,21.8,88.0,74.0,0.0,0.0,0.0,1.0,254.0,0.0,12.6
25_07_2022,03:40:30,1013.5,21.8,25.7,21.9,87.0,74.0,0.0,0.0,0.0,3.9,231.0,0.0,12.6
25_07_2022,03:50:40,1013.6,22.0,25.7,22.1,85.0,73.0,0.0,0.0,0.0,3.5,181.0,0.0,12.6
25_07_2022,03:55:50,1013.6,22.0,25.6,22.2,85.0,73.0,0.0,0.0,0.0,2.0,233.0,0.0,12.6
25_07_2022,03:55:54,1013.7,22.0,25.6,22.2,85.0,73.0,0.0,0.0,0.0,1.6,206.0,0.0,12.6
25_07_2022,04:16:10,1013.7,22.0,25.6,22.3,85.0,73.0,0.0,0.0,0.0,0.5,211.0,0.0,12.6
25_07_2022,04:16:15,1013.7,22.0,25.6,22.3,85.0,73.0,0.0,0.0,0.0,0.0,298.0,0.0,12.6
25_07_2022,04:26:30,1013.7,22.1,25.6,22.3,85.0,73.0,0.0,0.0,0.0,0.7,199.0,0.0,12.6
25_07_2022,04:26:35,1013.7,22.1,25.6,22.3,85.0,73.0,0.0,0.0,0.0,0.6,204.0,0.0,12.6
25_07_2022,04:36:50,1013.8,21.9,25.5,22.3,86.0,73.0,0.0,0.0,0.0,1.1,248.0,0.0,12.6
25_07_2022,04:36:55,1013.8,21.9,25.5,22.3,86.0,73.0,0.0,0.0,0.0,2.2,207.0,0.0,12.6
25_07_2022,05:22:10,1014.2,21.4,25.4,21.8,88.0,74.0,0.0,1.0,0.0,0.8,318.0,0.0,12.6
25_07_2022,05:22:15,1014.2,21.4,25.4,21.8,88.0,74.0,0.0,1.0,0.0,0.9,329.0,0.0,12.6
25_07_2022,05:32:30,1014.2,21.4,25.4,21.8,88.0,74.0,2.0,57.0,3.0,1.5,230.0,0.0,12.6
25_07_2022,05:32:35,1014.2,21.4,25.4,21.9,88.0,74.0,2.0,59.0,4.0,2.2,219.0,0.0,12.6
25_07_2022,05:42:51,1014.2,21.5,25.4,21.9,89.0,74.0,6.0,308.0,18.0,1.1,249.0,0.0,12.6
25_07_2022,05:42:56,1014.2,21.5,25.4,21.9,89.0,74.0,6.0,314.0,19.0,0.8,246.0,0.0,12.6
25_07_2022,06:19:21,1014.4,21.9,25.3,22.2,86.0,73.0,57.0,2740.0,164.0,0.7,248.0,0.0,12.6
25_07_2022,06:23:31,1014.4,21.9,25.3,22.2,87.0,73.0,66.0,4311.0,259.0,0.6,274.0,0.0,12.6
25_07_2022,06:23:36,1014.4,21.9,25.3,22.2,87.0,73.0,66.0,4377.0,263.0,1.1,182.0,0.0,12.6
25_07_2022,06:24:22,1014.5,21.9,25.3,22.2,87.0,73.0,65.0,4638.0,278.0,2.0,242.0,0.0,12.6
